,L_bankssts,L_caudalanteriorcingulate,L_caudalmiddlefrontal,L_cuneus,L_entorhinal,L_fusiform,L_inferiorparietal,L_inferiortemporal,L_isthmuscingulate,L_lateraloccipital,L_lateralorbitofrontal,L_lingual,L_medialorbitofrontal,L_middletemporal,L_parahippocampal,L_paracentral,L_parsopercularis,L_parsorbitalis,L_parstriangularis,L_pericalcarine,L_postcentral,L_posteriorcingulate,L_precentral,L_precuneus,L_rostralanteriorcingulate,L_rostralmiddlefrontal,L_superiorfrontal,L_superiorparietal,L_superiortemporal,L_supramarginal,L_frontalpole,L_temporalpole,L_transversetemporal,L_insula,R_bankssts,R_caudalanteriorcingulate,R_caudalmiddlefrontal,R_cuneus,R_entorhinal,R_fusiform,R_inferiorparietal,R_inferiortemporal,R_isthmuscingulate,R_lateraloccipital,R_lateralorbitofrontal,R_lingual,R_medialorbitofrontal,R_middletemporal,R_parahippocampal,R_paracentral,R_parsopercularis,R_parsorbitalis,R_parstriangularis,R_pericalcarine,R_postcentral,R_posteriorcingulate,R_precentral,R_precuneus,R_rostralanteriorcingulate,R_rostralmiddlefrontal,R_superiorfrontal,R_superiorparietal,R_superiortemporal,R_supramarginal,R_frontalpole,R_temporalpole,R_transversetemporal,R_insula
L_insula,134.0,116.0,811.0,147.0,1463.0,349.0,2092.0,588.0,279.0,2024.0,10758.0,728.0,3129.0,891.0,94.0,129.0,8545.0,2376.0,4527.0,122.0,8742.0,163.0,11431.0,936.0,411.0,1563.0,6371.0,5206.0,11465.0,4935.0,209.0,3633.0,4076.0,0.0,7.0,87.0,104.0,11.0,0.0,6.0,88.0,57.0,111.0,74.0,60.0,32.0,128.0,55.0,7.0,109.0,125.0,33.0,120.0,2.0,46.0,59.0,99.0,581.0,49.0,295.0,1938.0,432.0,93.0,36.0,58.0,0.0,14.0,33.0
R_bankssts,2.0,0.0,1.0,5.0,0.0,2.0,4.0,8.0,16.0,6.0,1.0,2.0,0.0,7.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,122.0,0.0,1.0,12.0,58.0,15.0,10.0,0.0,0.0,1.0,7.0,0.0,1.0,61.0,22.0,0.0,36.0,8108.0,265.0,49.0,277.0,26.0,30.0,0.0,6126.0,4.0,6.0,165.0,22.0,118.0,15.0,42.0,7.0,94.0,145.0,0.0,74.0,31.0,1202.0,10979.0,1668.0,1.0,0.0,64.0,119.0
R_caudalanteriorcingulate,1.0,132.0,53.0,1.0,0.0,4.0,4.0,11.0,40.0,7.0,39.0,8.0,249.0,9.0,0.0,36.0,111.0,16.0,89.0,0.0,12.0,95.0,48.0,125.0,315.0,257.0,2396.0,26.0,34.0,13.0,50.0,0.0,1.0,87.0,1.0,0.0,15.0,1.0,1.0,1.0,6.0,2.0,667.0,2.0,29.0,1.0,818.0,2.0,5.0,191.0,61.0,23.0,92.0,0.0,5.0,2409.0,19.0,2106.0,2994.0,209.0,13679.0,62.0,9.0,7.0,90.0,1.0,2.0,18.0
R_caudalmiddlefrontal,1.0,27.0,501.0,3.0,0.0,2.0,22.0,9.0,8.0,9.0,2.0,3.0,1.0,4.0,1.0,32.0,261.0,7.0,64.0,0.0,19.0,54.0,282.0,78.0,4.0,393.0,2645.0,50.0,16.0,17.0,1.0,0.0,1.0,104.0,61.0,15.0,0.0,22.0,0.0,143.0,8379.0,2151.0,19.0,432.0,41.0,47.0,2.0,1123.0,4.0,33.0,6270.0,61.0,794.0,9.0,1474.0,6.0,20833.0,69.0,1.0,16655.0,30481.0,2719.0,500.0,277.0,9.0,3.0,99.0,328.0
R_cuneus,0.0,0.0,1.0,438.0,4.0,83.0,83.0,46.0,154.0,1428.0,2.0,376.0,2.0,14.0,20.0,1.0,0.0,0.0,2.0,301.0,0.0,0.0,0.0,195.0,0.0,2.0,0.0,700.0,21.0,1.0,0.0,2.0,1.0,11.0,22.0,1.0,22.0,0.0,125.0,893.0,178.0,619.0,958.0,6346.0,119.0,15181.0,11.0,426.0,1250.0,1.0,7.0,34.0,7.0,37286.0,2.0,2.0,2.0,5577.0,0.0,24.0,8.0,13627.0,369.0,14.0,4.0,5.0,11.0,82.0
R_entorhinal,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,12.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,125.0,0.0,1717.0,15.0,159.0,96.0,135.0,21.0,285.0,15.0,27.0,2275.0,0.0,0.0,2.0,0.0,79.0,0.0,5.0,0.0,492.0,2.0,2.0,10.0,127.0,9.0,0.0,1.0,478.0,0.0,643.0
R_fusiform,1.0,0.0,1.0,36.0,1.0,24.0,35.0,25.0,28.0,279.0,0.0,49.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,45.0,2.0,4.0,1.0,100.0,0.0,3.0,7.0,148.0,13.0,2.0,1.0,1.0,0.0,6.0,36.0,1.0,143.0,893.0,1717.0,0.0,1664.0,19732.0,185.0,32147.0,475.0,11254.0,67.0,1586.0,4885.0,3.0,39.0,133.0,37.0,892.0,11.0,3.0,33.0,747.0,1.0,149.0,39.0,5853.0,727.0,38.0,22.0,258.0,15.0,352.0
R_inferiorparietal,3.0,4.0,36.0,32.0,0.0,26.0,94.0,62.0,108.0,227.0,23.0,38.0,12.0,80.0,20.0,44.0,22.0,17.0,10.0,27.0,16.0,35.0,103.0,1134.0,6.0,42.0,406.0,723.0,140.0,30.0,2.0,7.0,12.0,88.0,8108.0,6.0,8379.0,178.0,15.0,1664.0,0.0,18372.0,259.0,19206.0,466.0,643.0,18.0,50834.0,69.0,85.0,5301.0,249.0,1197.0,115.0,2693.0,25.0,11679.0,972.0,2.0,4827.0,2733.0,50058.0,9781.0,17242.0,23.0,25.0,748.0,1529.0
R_inferiortemporal,1.0,1.0,7.0,39.0,3.0,42.0,76.0,79.0,77.0,339.0,10.0,55.0,13.0,46.0,17.0,6.0,2.0,3.0,5.0,38.0,11.0,8.0,12.0,723.0,1.0,17.0,81.0,485.0,95.0,10.0,3.0,7.0,8.0,57.0,265.0,2.0,2151.0,619.0,159.0,19732.0,18372.0,0.0,195.0,20513.0,950.0,5292.0,155.0,22825.0,890.0,12.0,1186.0,340.0,538.0,787.0,120.0,9.0,712.0,805.0,1.0,2893.0,438.0,5523.0,1720.0,256.0,49.0,1037.0,62.0,444.0
R_isthmuscingulate,9.0,17.0,13.0,422.0,15.0,94.0,176.0,117.0,1212.0,1259.0,53.0,342.0,83.0,113.0,84.0,506.0,25.0,40.0,36.0,340.0,241.0,469.0,314.0,3172.0,31.0,70.0,431.0,1706.0,272.0,91.0,30.0,15.0,16.0,111.0,49.0,667.0,19.0,958.0,96.0,185.0,259.0,195.0,0.0,1443.0,54.0,886.0,311.0,286.0,1203.0,48.0,49.0,20.0,50.0,440.0,26.0,2859.0,24.0,22588.0,462.0,84.0,3640.0,2131.0,704.0,120.0,47.0,3.0,102.0,129.0
