,L_bankssts,L_caudalanteriorcingulate,L_caudalmiddlefrontal,L_cuneus,L_entorhinal,L_fusiform,L_inferiorparietal,L_inferiortemporal,L_isthmuscingulate,L_lateraloccipital,L_lateralorbitofrontal,L_lingual,L_medialorbitofrontal,L_middletemporal,L_parahippocampal,L_paracentral,L_parsopercularis,L_parsorbitalis,L_parstriangularis,L_pericalcarine,L_postcentral,L_posteriorcingulate,L_precentral,L_precuneus,L_rostralanteriorcingulate,L_rostralmiddlefrontal,L_superiorfrontal,L_superiorparietal,L_superiortemporal,L_supramarginal,L_frontalpole,L_temporalpole,L_transversetemporal,L_insula,R_bankssts,R_caudalanteriorcingulate,R_caudalmiddlefrontal,R_cuneus,R_entorhinal,R_fusiform,R_inferiorparietal,R_inferiortemporal,R_isthmuscingulate,R_lateraloccipital,R_lateralorbitofrontal,R_lingual,R_medialorbitofrontal,R_middletemporal,R_parahippocampal,R_paracentral,R_parsopercularis,R_parsorbitalis,R_parstriangularis,R_pericalcarine,R_postcentral,R_posteriorcingulate,R_precentral,R_precuneus,R_rostralanteriorcingulate,R_rostralmiddlefrontal,R_superiorfrontal,R_superiorparietal,R_superiortemporal,R_supramarginal,R_frontalpole,R_temporalpole,R_transversetemporal,R_insula
L_parsorbitalis,10.0,13.0,83.0,21.0,3.0,118.0,131.0,106.0,18.0,371.5,10774.5,313.0,71.0,244.0,6.0,3.0,563.0,0.0,8455.0,54.0,41.0,8.0,110.0,34.0,26.0,7972.0,889.0,98.0,427.5,46.0,148.5,112.5,6.0,1317.5,0.0,15.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,14.0,1.0,81.0,1.0,0.0,1.0,4.0,11.5,10.0,0.0,1.0,4.0,2.0,18.0,27.0,244.0,435.5,8.0,1.0,1.0,70.0,0.0,0.0,4.0
L_parstriangularis,52.0,40.0,838.0,13.0,2.0,88.0,228.0,277.5,29.0,278.0,3916.0,167.5,15.0,477.0,4.0,25.0,12896.0,8455.0,0.0,32.0,317.0,27.0,847.0,77.0,14.0,14965.0,3456.5,179.5,640.0,297.5,31.0,46.0,37.0,4864.0,0.0,48.0,53.5,0.0,0.0,0.0,5.0,1.0,9.0,0.0,3.0,0.0,15.0,2.0,0.0,10.0,35.0,9.0,36.0,0.0,4.0,13.0,18.0,29.0,22.0,347.5,955.5,12.0,2.0,4.0,16.0,0.0,0.0,7.0
L_pericalcarine,7.0,1.0,5.0,30661.5,51.0,592.0,104.5,463.0,560.5,11531.0,162.5,19166.0,23.0,371.5,316.5,0.0,12.0,54.0,32.0,0.0,3.0,1.0,7.0,1309.5,2.0,61.0,28.0,3796.0,428.0,13.0,9.0,47.0,4.0,201.0,0.0,0.0,0.0,313.0,2.0,30.0,43.0,20.0,78.0,409.0,3.0,213.5,1.0,14.0,11.0,0.0,0.0,0.0,0.0,157.5,0.0,1.0,0.0,361.0,0.0,1.0,4.0,505.0,20.0,1.0,0.0,1.0,1.0,7.0
L_postcentral,93.0,9.0,2931.0,2.0,1.0,91.0,2681.5,644.5,48.0,65.0,67.5,10.0,3.0,762.5,4.0,5925.5,1688.0,41.0,317.0,3.0,0.0,151.5,70001.0,567.0,2.0,502.0,2159.5,17207.5,842.0,27559.0,1.0,9.0,319.5,7853.0,5.0,11.0,38.0,0.0,0.0,1.0,33.0,9.0,26.5,2.0,1.0,0.0,0.0,19.0,1.0,761.0,16.0,1.0,5.0,0.0,417.5,155.0,385.5,700.5,1.0,19.0,421.0,500.5,58.5,148.5,0.0,0.0,8.0,24.0
L_posteriorcingulate,1.0,3661.0,42.0,1.0,5.5,6.0,17.0,10.0,4768.5,6.0,79.0,9.0,483.0,13.0,46.5,5853.0,98.5,8.0,27.0,1.0,151.5,0.0,287.5,12968.0,1325.5,148.0,10874.5,301.0,23.0,27.0,56.0,4.0,3.0,86.0,2.0,116.0,84.5,1.0,0.0,1.0,25.0,7.0,67.0,2.0,20.0,1.0,127.5,11.5,2.0,967.0,50.0,5.0,16.0,0.0,110.0,788.0,411.5,544.5,34.0,136.0,1920.0,215.5,21.0,36.0,39.0,0.0,2.0,19.0
L_precentral,422.5,20.0,29038.0,5.5,2.0,234.0,4267.5,2130.5,57.5,174.5,171.0,29.0,7.5,3038.5,7.0,10734.5,16538.0,110.0,847.0,7.0,70001.0,287.5,0.0,895.5,2.0,3171.5,28541.0,6755.0,1584.0,10706.0,4.0,24.0,232.5,8970.0,3.0,35.0,320.0,0.0,0.0,2.0,80.0,15.0,25.0,3.0,2.0,0.0,1.0,22.0,1.0,3003.5,78.0,2.0,16.0,0.0,330.0,405.0,2867.0,597.0,2.0,79.5,4362.0,380.0,26.0,65.0,1.0,0.0,3.0,25.0
L_precuneus,81.0,2677.5,181.5,5936.0,279.0,448.0,1981.5,567.0,23421.5,890.5,131.0,2920.5,352.5,630.0,2149.5,4193.0,355.5,34.0,77.0,1309.5,567.0,12968.0,895.5,0.0,1117.0,294.5,11150.0,15114.0,1744.5,1110.5,49.0,44.0,337.0,639.5,89.0,134.5,149.5,472.0,13.0,129.0,1124.5,361.0,1621.5,789.5,64.5,266.5,88.0,531.5,75.0,1522.5,91.0,20.0,35.0,232.0,765.5,771.0,714.5,11118.0,38.5,174.5,1810.5,6836.0,1220.0,1017.5,30.0,10.0,105.0,279.5
L_rostralanteriorcingulate,0.0,3560.0,2.0,1.0,3.0,8.0,4.0,7.0,1017.0,10.0,658.0,14.0,8336.5,11.0,20.0,22.0,5.0,26.0,14.0,2.0,2.0,1325.5,2.0,1117.0,0.0,310.0,9029.5,17.0,21.0,2.0,292.5,17.5,0.0,296.5,0.0,152.0,4.0,0.0,0.0,1.0,2.0,1.0,39.0,1.0,168.0,1.0,1242.5,3.0,1.0,5.0,6.5,23.0,20.0,0.0,2.0,32.0,4.0,43.0,533.5,461.0,1785.5,9.0,6.0,2.0,272.0,3.0,0.0,40.0
L_rostralmiddlefrontal,83.5,270.5,24217.0,28.0,5.0,270.0,1172.0,894.0,137.0,555.0,5830.0,380.0,475.0,1024.0,14.0,66.0,11182.5,7972.0,14965.0,61.0,502.0,148.0,3171.5,294.5,310.0,0.0,42733.0,560.5,765.5,512.5,1896.0,143.5,26.0,2091.5,2.0,504.0,423.0,0.0,0.0,2.0,34.0,11.0,110.0,3.0,165.0,4.0,980.0,25.0,3.0,41.0,327.0,195.0,433.5,0.0,27.0,120.0,109.0,172.0,462.0,5390.0,11315.0,37.0,19.5,36.5,806.0,3.0,1.0,88.0
L_superiorfrontal,102.5,13175.0,33933.0,15.0,17.0,141.0,1052.5,682.5,4718.5,258.0,905.0,156.0,6051.5,873.5,132.0,10381.0,13392.0,889.0,3456.5,28.0,2159.5,10874.5,28541.0,11150.0,9029.5,42733.0,0.0,3432.0,710.5,881.5,3894.0,54.0,60.0,4190.5,17.0,2953.0,3889.5,2.0,2.0,13.0,455.5,118.0,464.5,17.5,303.0,9.0,2202.5,186.0,17.0,2677.5,2063.5,313.5,1123.5,2.0,399.5,2119.5,4644.0,1621.5,1489.5,9690.5,53562.0,597.5,90.0,263.0,1274.0,7.0,7.0,341.5
